DBP,class,order,halogens,n.br,halogen.group,subclass,group,order.overall,MW,LC50,CTI,TDNA50,GTI
TCM,THM,1,3,0,Trichloro,THM,TTHM,38,119.37,9.62E-03,0.1,,
BDCM,THM,2,3,1,Bromodichloro,THM,TTHM,39,163.83,1.15E-02,0.09,,
DBCM,THM,3,3,2,Dibromochloro,THM,TTHM,40,208.28,5.36E-03,0.19,,
TBM,THM,4,3,3,Tribromo,THM,TTHM,41,252.73,3.96E-03,0.25,,
CAA,HAA,1,1,0,Chloro,mHAA,HAA5,42,94.5,8.10E-04,1.23,4.11E-04,2.43
BAA,HAA,2,1,1,Bromo,mHAA,HAA5,43,138.95,9.60E-06,104.17,1.70E-05,58.82
DCAA,HAA,3,2,0,Dichloro,dHAA,HAA5,44,128.94,7.30E-03,0.14,,
BCAA,HAA,4,2,1,Bromochloro,dHAA,HAA9,45,173.39,7.78E-04,1.29,3.64E-03,0.27
DBAA,HAA,5,2,2,Dibromo,dHAA,HAA5,46,217.84,5.90E-04,1.69,1.76E-03,0.57
TCAA,HAA,6,3,0,Trichloro,tHAA,HAA5,47,163.38,2.40E-03,0.42,,
BDCAA,HAA,7,3,1,Bromodichloro,tHAA,HAA9,48,207.83,6.85E-04,1.46,,
DBCAA,HAA,8,3,2,Dibromochloro,tHAA,HAA9,49,252.29,2.02E-04,4.95,1.36E-02,0.07
TBAA,HAA,9,3,3,Tribromo,tHAA,HAA9,50,296.74,8.50E-05,11.76,2.46E-03,0.41
